customer,surname,givenName,email,country,stateCode,state,city,streetAddress,latitude,longitude,claimAmount,response,coverage,education,effectiveToDate,employmentStatus,gender,income,locationCode,maritalStatus,monthlyPremiumAuto,monthsSinceLastClaim,monthsSincePolicyInception,numberOfOpenComplaints,numberOfPolicies,policyType,policy,claimReason,salesChannel,totalClaimAmount,vehicleClass,vehicleSize,vehicle
AA10041,Yoshioka,Bob,BobAYoshioka@einrot.com,US,NC,North Carolina,Charlotte,1498 McVaney Road,35.31149,-80.834429,790.1744238,No,Basic,High School or Below,10/14/16,Unemployed,M,0,Suburban,Single,113,35,83,0,5,Personal Auto,Personal L3,Collision,Call Center,1258.327804,SUV,Medsize,2005 Honda Z
AA11235,Merrill,Ashley,AshleyHMerrill@cuvox.de,US,OH,Ohio,Akron,3314 Derek Drive,41.079571,-81.425729,256.8843396,No,Basic,Bachelor,10/21/16,Medical Leave,F,11167,Suburban,Married,73,0,99,3,1,Personal Auto,Personal L3,Hail,Branch,350.4,Two-Door Car,Medsize,2011 Mazda CX-9
AA16582,Perdue,Josh,JoshJPerdue@teleworm.us,US,NY,New York,Syracuse,4342 Saint Marys Avenue,43.033453,-76.065625,2412.750402,Yes,Basic,Bachelor,8/31/16,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,Personal Auto,Personal L2,Collision,Agent,511.2,Four-Door Car,Medsize,2009 Nissan Rogue
AA30683,Fortin,Walter,WalterKFortin@armyspy.com,US,MD,Maryland,Brunswick,268 Del Dew Drive,39.301498,-77.639666,659.5101921,No,Premium,Bachelor,10/2/16,Unemployed,M,0,Suburban,Single,105,2,38,2,7,Personal Auto,Personal L3,Collision,Web,847.717402,Four-Door Car,Medsize,2011 Scion xB
AA34092,Taylor,Daniel,DanielTTaylor@rhyta.com,US,WA,Washington,Spokane,1019 Calico Drive,47.639042,-117.422054,2879.995415,No,Extended,College,8/4/16,Employed,M,33635,Suburban,Married,240,1,23,0,2,Personal Auto,Personal L3,Collision,Web,1152,Luxury SUV,Medsize,2004 Porsche GT2
AA35519,Breaux,Suellen,SuellenCBreaux@teleworm.us,US,NY,New York,Setauket,3973 Fieldcrest Road,41.028709,-73.083152,800.2308333,Yes,Basic,College,9/26/16,Unemployed,F,0,Suburban,Married,107,3,65,0,3,Personal Auto,Personal L2,Collision,Agent,513.6,SUV,Medsize,1999 BMW 323
AA56476,McCoy,Elsa,ElsaAMcCoy@einrot.com,US,VA,Virginia,Glen Allen,2293 Melody Lane,37.635005,-77.475897,559.5389905,Yes,Basic,High School or Below,10/31/16,Employed,F,74454,Suburban,Single,71,25,29,0,3,Corporate Auto,Corporate L2,Hail,Call Center,340.8,Four-Door Car,Medsize,2000 Vauxhall Agila
AA69265,Marchan,Blanche,BlancheGMarchan@jourrapide.com,US,GA,Georgia,Norcross,633 Smith Road,33.967678,-84.31022,396.4730745,No,Premium,Bachelor,8/23/16,Employed,F,60817,Suburban,Single,103,3,79,1,1,Personal Auto,Personal L2,Hail,Web,494.4,Four-Door Car,Medsize,1996 Mazda RX-01
AA71604,Patterson,Linda,LindaFPatterson@cuvox.de,US,WI,Wisconsin,Milwaukee,2639 Grant View Drive,43.086124,-87.827612,1198.659212,No,Extended,Master,8/15/16,Employed,F,87560,Suburban,Married,98,4,86,1,2,Personal Auto,Personal L2,Collision,Web,470.4,Two-Door Car,Medsize,2005 Kia Towner
AA93585,Anderson,Ryan,RyanEAnderson@fleckens.hu,US,KY,Kentucky,Magnolia,4770 Glen Street,37.412953,-85.802542,708.3642205,No,Premium,College,10/27/16,Employed,M,97024,Urban,Married,177,0,68,0,1,Personal Auto,Personal L2,Hail,Branch,686.815162,SUV,Medsize,2005 Volvo C70
AB13432,Denham,Harvey,HarveyMDenham@jourrapide.com,US,MS,Mississippi,Philadelphia,4974 Walnut Street,32.795947,-89.098866,373.5838129,No,Basic,Bachelor,8/9/16,Unemployed,M,0,Suburban,Single,110,3,16,0,1,Personal Auto,Personal L3,Collision,Agent,792,SUV,Medsize,2004 Vauxhall Omega
AB21519,Padgett,Susan,SusanMPadgett@cuvox.de,US,CA,California,Oakland,4269 Thompson Drive,37.770983,-122.235451,386.1486269,Yes,Extended,College,11/14/16,Employed,F,93272,Urban,Married,95,3,54,0,1,Personal Auto,Personal L3,Hail,Branch,281.110788,Four-Door Car,Medsize,1997 Seat Alhambra
AB23825,Jordan,James,JamesKJordan@teleworm.us,US,CA,California,Santa Barbara,2851 Diane Street,34.363315,-119.6104,888.8875454,No,Extended,College,11/10/16,Employed,M,21509,Suburban,Single,81,24,24,1,2,Personal Auto,Personal L1,Other,Agent,413.492922,Two-Door Car,Medsize,2010 Volkswagen Jetta
AB26022,Perry,Louis,LouisVPerry@superrito.com,US,IL,Illinois,Chicago,2735 Vesta Drive,42.002485,-87.846138,799.8347343,No,Basic,High School or Below,12/27/16,Retired,M,26487,Suburban,Single,112,0,82,0,3,Corporate Auto,Corporate L2,Collision,Call Center,602.431489,SUV,Medsize,1996 Pininfarina Eta
AB31813,Crider,Wallace,WallaceMCrider@rhyta.com,US,NE,Nebraska,Aurora,270 Snowbird Lane,40.786527,-97.946626,4477.129936,No,Extended,High School or Below,12/23/16,Unemployed,M,0,Suburban,Married,131,20,59,0,2,Personal Auto,Personal L3,Scratch/Dent,Agent,842.391832,SUV,Medsize,2010 Toyota Highlander
AB45325,Hurd,Gary,GaryCHurd@teleworm.us,US,NM,New Mexico,Santa Fe,4540 Westfall Avenue,35.808732,-105.78912,257.7319607,No,Basic,High School or Below,8/22/16,Employed,M,74215,Suburban,Married,64,27,41,0,1,Personal Auto,Personal L3,Other,Branch,345.180055,Two-Door Car,Small,2007 Kia Cee'd
AB60627,Vandemark,Benjamin,BenjaminDVandemark@cuvox.de,US,FL,Florida,Ft Lauderdale,1546 Foley Street,26.07294,-80.226748,1546.778904,No,Extended,High School or Below,8/9/16,Employed,M,77517,Rural,Married,129,19,20,0,2,Corporate Auto,Corporate L2,Scratch/Dent,Branch,98.921782,SUV,Medsize,1995 Suzuki Samurai
AB62982,Gonzalez,Josephine,JosephineRGonzalez@jourrapide.com,US,MD,Maryland,Ellicott City,441 Blue Spruce Lane,39.228401,-76.930478,591.8066128,No,Basic,Doctor,9/9/16,Employed,F,77521,Suburban,Married,73,6,66,0,3,Personal Auto,Personal L3,Scratch/Dent,Call Center,350.4,Two-Door Car,Small,2007 Porsche Boxster
AB69140,Martelli,Kenneth,KennethMMartelli@armyspy.com,US,FL,Florida,Orlando,2978 Linden Avenue,28.592825,-81.299586,2509.357037,No,Basic,Master,8/13/16,Employed,M,36007,Suburban,Married,70,14,85,0,2,Personal Auto,Personal L2,Collision,Branch,336,Four-Door Car,Small,2006 Lancia Thesis
AB72731,Mabery,Lindsey,LindseyGMabery@teleworm.us,US,CA,California,Anaheim,1402 Parkview Drive,33.805394,-117.958629,463.9981638,No,Basic,Bachelor,10/24/16,Employed,F,28358,Rural,Married,117,24,37,0,1,Personal Auto,Personal L2,Hail,Call Center,84.024413,Sports Car,Medsize,2008 Jaguar XK
AB73565,Hermann,Lawrence,LawrenceWHermann@jourrapide.com,US,CO,Colorado,Denver,3144 Timberbrook Lane,39.835456,-105.05235,772.5535708,No,Extended,Bachelor,12/13/16,Employed,M,96748,Suburban,Married,96,13,68,0,9,Personal Auto,Personal L3,Hail,Branch,460.8,Two-Door Car,Medsize,2000 Hyundai Galloper
AB78984,Hodapp,Oscar,OscarGHodapp@fleckens.hu,US,DE,Delaware,New Castle,3339 Callison Lane,39.648133,-75.685655,1112.420636,No,Extended,College,8/27/16,Employed,M,42596,Rural,Single,96,8,82,0,2,Personal Auto,Personal L1,Collision,Web,42.293622,Four-Door Car,Medsize,2003 Audi A3
AB96670,Connell,Roger,RogerMConnell@teleworm.us,US,MI,Michigan,Hudsonville,1716 Howard Street,42.892352,-85.931085,239.3915369,Yes,Basic,College,8/21/16,Unemployed,M,0,Suburban,Single,70,24,10,0,1,Personal Auto,Personal L1,Collision,Branch,425.266308,Four-Door Car,Medsize,2010 Jeep Wrangler
AB98823,Burg,Paul,PaulMBurg@armyspy.com,US,HI,Hawaii,Commercial Capehart,473 Indiana Avenue,21.476145,-158.067145,603.2737631,No,Extended,College,12/30/16,Unemployed,M,0,Suburban,Married,86,4,56,0,8,Personal Auto,Personal L3,Hail,Web,412.8,Two-Door Car,Medsize,2005 Subaru Traviq
AC13887,Taylor,Thomas,ThomasMTaylor@gustr.com,US,FL,Florida,Lake Worth,1472 Powder House Road,26.544435,-80.099685,462.8995325,No,Basic,Bachelor,9/25/16,Unemployed,M,0,Suburban,Single,67,25,21,0,4,Corporate Auto,Corporate L1,Collision,Branch,482.4,Two-Door Car,Medsize,2009 Mitsubishi Colt
AC22873,Sims,Araceli,AraceliJSims@superrito.com,US,CA,California,Placentia,4277 Angie Drive,33.856003,-117.771046,485.3100287,No,Extended,High School or Below,9/12/16,Medical Leave,F,17120,Suburban,Married,125,14,95,0,1,Special Auto,Special L3,Collision,Agent,717.285949,SUV,Medsize,1995 Hyundai HCD-III
AC24378,Rossi,Barbara,BarbaraNRossi@rhyta.com,US,MA,Massachusetts,Cambridge,3477 Single Street,42.332944,-71.01083,747.7176362,No,Extended,High School or Below,10/26/16,Employed,F,48552,Urban,Married,94,5,54,0,9,Corporate Auto,Corporate L3,Other,Call Center,262.746281,Four-Door Car,Medsize,1998 Maserati Ghibli
AC40767,Sorensen,Marc,MarcESorensen@jourrapide.com,US,NY,New York,Liberty,2172 Benedum Drive,41.897501,-74.677939,249.7808174,No,Basic,Bachelor,10/22/16,Employed,M,68041,Urban,Single,64,10,47,0,1,Personal Auto,Personal L2,Other,Branch,165.570243,Two-Door Car,Medsize,2011 Chevrolet Rezzo
AC42963,Brown,Marcellus,MarcellusABrown@teleworm.us,US,MN,Minnesota,Mcintosh,1941 Terra Cotta Street,47.612344,-95.977746,2142.363723,Yes,Basic,Bachelor,9/22/16,Unemployed,M,0,Suburban,Married,65,9,31,0,2,Special Auto,Special L3,Hail,Agent,312,Two-Door Car,Medsize,2015 Jeep Renegade
AC58002,Rogers,Anna,AnnaJRogers@superrito.com,US,FL,Florida,Jacksonville,3085 Brannon Avenue,30.248052,-81.608922,566.6867962,No,Basic,Bachelor,10/25/16,Employed,F,53907,Urban,Married,71,1,52,0,9,Corporate Auto,Corporate L2,Collision,Branch,189.907577,Four-Door Car,Medsize,1992 Volvo 850
AC67315,Gonzalez,Stephanie,StephanieTGonzalez@superrito.com,US,WI,Wisconsin,Eau Claire,2231 Mercer Street,44.806928,-91.557026,1386.210016,No,Basic,Bachelor,11/13/16,Employed,F,96950,Suburban,Married,115,20,74,0,2,Personal Auto,Personal L2,Other,Agent,633.132017,Sports Car,Large,2008 GMC Canyon
AC73173,Hobbs,Jack,JackSHobbs@fleckens.hu,US,GA,Georgia,Atlanta,250 Despard Street,33.872439,-84.372777,369.4647081,No,Basic,Bachelor,9/2/16,Unemployed,M,0,Suburban,Married,102,13,84,0,1,Personal Auto,Personal L2,Scratch/Dent,Call Center,610.617285,SUV,Large,2005 GMC Yukon
AC75391,Haller,Leslie,LeslieTHaller@cuvox.de,US,LA,Louisiana,Lake Charles,3337 Sarah Drive,30.144699,-93.181821,576.8091295,No,Basic,College,9/8/16,Employed,F,35091,Suburban,Divorced,74,27,19,0,9,Corporate Auto,Corporate L1,Collision,Branch,418.927204,Two-Door Car,Medsize,2006 Mahindra Bolero
AC79024,Miller,Richard,RichardEMiller@jourrapide.com,US,NJ,New Jersey,Camden,4454 Whiteman Street,40.000711,-75.157237,553.3229132,No,Basic,Bachelor,10/15/16,Employed,M,23241,Suburban,Married,70,11,14,0,9,Personal Auto,Personal L1,Hail,Agent,504,Two-Door Car,Small,2003 Hummer H2
AD12500,Morgan,Rhonda,RhondaMMorgan@superrito.com,US,MI,Michigan,Gladstone,2935 Wood Duck Drive,45.798414,-87.085457,1782.256375,No,Extended,High School or Below,12/25/16,Employed,F,42696,Suburban,Single,228,17,50,0,9,Personal Auto,Personal L2,Scratch/Dent,Call Center,1273.741085,Luxury Car,Small,1996 BMW 540
